No.;Time;;TIME 1;TIME 2;DELAY;DELAY 1;DELAY 2;JITTER
80;2,933425;;2,933425;2,933479;5,40E-05;-2,10E-05;2,00E-05;4,10E-05
81;2,933479;;2,933479;2,933554;7,50E-05;2,00E-05;3,00E-06;-1,70E-05
82;2,933554;;2,933554;2,933609;5,50E-05;3,00E-06;-1,00E-05;-1,30E-05
83;2,933609;;2,933609;2,933661;5,20E-05;-1,00E-05;-3,00E-06;7,00E-06
84;2,933661;;2,933661;2,933723;6,20E-05;-3,00E-06;-0,004808;-0,004805
85;2,933723;;2,933723;2,933788;6,50E-05;-0,004808;0,004738;0,009546
86;2,933788;;2,933788;2,938661;0,004873;0,004738;-0,00344;-0,008178
87;2,938661;;2,938661;2,938796;0,000135;-0,00344;0,003462;0,006902
88;2,938796;;2,938796;2,942371;0,003575;0,003462;-0,002797;-0,006259
89;2,942371;;2,942371;2,942484;0,000113;-0,002797;0,002798;0,005595
90;2,942484;;2,942484;2,945394;0,00291;0,002798;-0,003055;-0,005853
91;2,945394;;2,945394;2,945506;0,000112;-0,003055;0,00307;0,006125
92;2,945506;;2,945506;2,948673;0,003167;0,00307;-0,003952;-0,007022
93;2,948673;;2,948673;2,94877;9,70E-05;-0,003952;-0,164271;-0,160319
94;2,94877;;2,94877;2,952819;0,004049;-0,164271;0,157077;0,321348
95;2,952819;;2,952819;3,121139;0,16832;0,157077;0,007363;-0,149714
96;3,121139;;3,121139;3,132382;0,011243;0,007363;-0,01553;-0,022893
97;3,132382;;3,132382;3,136262;0,00388;-0,01553;0,007554;0,023084
98;3,136262;;3,136262;3,155672;0,01941;0,007554;0,001716;-0,005838
99;3,155672;;3,155672;3,167528;0,011856;0,001716;0,000161;-0,001555
100;3,167528;;3,167528;3,177668;0,01014;0,000161;-3,20E-05;-0,000193
101;3,177668;;3,177668;3,187647;0,009979;-3,20E-05;-0,03936;-0,039328
102;3,187647;;3,187647;3,197658;0,010011;-0,03936;0,040912;0,080272
103;3,197658;;3,197658;3,247029;0,049371;0,040912;-0,009671;-0,050583
104;3,247029;;3,247029;3,255488;0,008459;-0,009671;0,017753;0,027424
105;3,255488;;3,255488;3,273618;0,01813;0,017753;-0,073747;-0,0915
106;3,273618;;3,273618;3,273995;0,000377;-0,073747;0,073885;0,147632
107;3,273995;;3,273995;3,348119;0,074124;0,073885;-0,009377;-0,083262
108;3,348119;;3,348119;3,348358;0,000239;-0,009377;0,009616;0,018993
109;3,348358;;3,348358;3,357974;0,009616;0,009616;0;-0,009616
110;3,357974;;3,357974;3,357974;0;0;-0,000375;-0,000375
111;3,357974;;3,357974;3,357974;0;-0,000375;-0,010859;-0,010484
112;3,357974;;3,357974;3,358349;0,000375;-0,010859;-0,035832;-0,024973
113;3,358349;;3,358349;3,369583;0,011234;-0,035832;-0,445387;-0,409555
114;3,369583;;3,369583;3,416649;0,047066;-0,445387;0,492016;0,937403
115;3,416649;;3,416649;3,909102;0,492453;0,492016;-0,053622;-0,545638
116;3,909102;;3,909102;3,909539;0,000437;-0,053622;0,018515;0,072137
117;3,909539;;3,909539;3,963598;0,054059;0,018515;0,035544;0,017029
118;3,963598;;3,963598;3,999142;0,035544;0,035544;-0,000244;-0,035788
119;3,999142;;3,999142;3,999142;0;-0,000244;-0,00018;6,40E-05
120;3,999142;;3,999142;3,999386;0,000244;-0,00018;-0,058582;-0,058402
121;3,999386;;3,999386;3,99981;0,000424;-0,058582;0,00278;0,061362
122;3,99981;;3,99981;4,058816;0,059006;0,00278;0,049196;0,046416
123;4,058816;;4,058816;4,115042;0,056226;0,049196;0,006737;-0,042459
124;4,115042;;4,115042;4,122072;0,00703;0,006737;-0,016345;-0,023082
125;4,122072;;4,122072;4,122365;0,000293;-0,016345;0,016638;0,032983
126;4,122365;;4,122365;4,139003;0,016638;0,016638;-0,004537;-0,021175
127;4,139003;;4,139003;4,139003;0;-0,004537;0,004537;0,009074
128;4,139003;;4,139003;4,14354;0,004537;0,004537;-0,000305;-0,004842
129;4,14354;;4,14354;4,14354;0;-0,000305;-0,010354;-0,010049
130;4,14354;;4,14354;4,143845;0,000305;-0,010354;0,010659;0,021013
131;4,143845;;4,143845;4,154504;0,010659;0,010659;-0,001858;-0,012517
132;4,154504;;4,154504;4,154504;0;-0,001858;0,001858;0,003716
133;4,154504;;4,154504;4,156362;0,001858;0,001858;-6,50E-05;-0,001923
134;4,156362;;4,156362;4,156362;0;-6,50E-05;-0,001833;-0,001768
135;4,156362;;4,156362;4,156427;6,50E-05;-0,001833;0,001898;0,003731
136;4,156427;;4,156427;4,158325;0,001898;0,001898;-0,001956;-0,003854
137;4,158325;;4,158325;4,158325;0;-0,001956;0,001956;0,003912
138;4,158325;;4,158325;4,160281;0,001956;0,001956;-0,002343;-0,004299
139;4,160281;;4,160281;4,160281;0;-0,002343;0,002343;0,004686
140;4,160281;;4,160281;4,162624;0,002343;0,002343;-0,002337;-0,00468
141;4,162624;;4,162624;4,162624;0;-0,002337;0,002337;0,004674
142;4,162624;;4,162624;4,164961;0,002337;0,002337;0;-0,002337
143;4,164961;;4,164961;4,164961;0;0;-0,000241;-0,000241
144;4,164961;;4,164961;4,164961;0;-0,000241;-0,001942;-0,001701
145;4,164961;;4,164961;4,165202;0,000241;-0,001942;0,002183;0,004125
146;4,165202;;4,165202;4,167385;0,002183;0,002183;0;-0,002183
147;4,167385;;4,167385;4,167385;0;0;-0,001448;-0,001448
148;4,167385;;4,167385;4,167385;0;-0,001448;0,001448;0,002896
149;4,167385;;4,167385;4,168833;0,001448;0,001448;-0,000305;-0,001753
150;4,168833;;4,168833;4,168833;0;-0,000305;-0,000815;-0,00051
151;4,168833;;4,168833;4,169138;0,000305;-0,000815;-0,001068;-0,000253
152;4,169138;;4,169138;4,170258;0,00112;-0,001068;0,002188;0,003256
153;4,170258;;4,170258;4,172446;0,002188;0,002188;-0,000267;-0,002455
154;4,172446;;4,172446;4,172446;0;-0,000267;-0,002105;-0,001838
155;4,172446;;4,172446;4,172713;0,000267;-0,002105;0,002372;0,004477
156;4,172713;;4,172713;4,175085;0,002372;0,002372;0;-0,002372
157;4,175085;;4,175085;4,175085;0;0;-0,00172;-0,00172
